id	SampleID-sequencing-centre	old_id	core	depth	sample
23_BH1	465926_1_926	K2	BH1	23	23_BH1
56_BH1	465926_2_926	K6	BH1	56	56_BH1
68_BH1	428902_1	K7 	BH1	68	68_BH1
86_BH1	443707_2	K9 	BH1	86	86_BH1
106_BH1	428902_3	K11 	BH1	106	106_BH1
166_BH1	428902_4	K15 	BH1	166	166_BH1
186_BH1	428902_5	K16 	BH1	186	186_BH1
259_BH1	428902_6	K21 	BH1	259	259_BH1
295_BH1	465926_3_926	K23	BH1	295	295_BH1
305_BH1	465926_4_926	K24	BH1	305	305_BH1
8_BH2	428902_7	K26 	BH2	8	8_BH2
38_BH2	465926_5_926	K28	BH2	38	38_BH2
84_BH2	465926_6_926	K32	BH2	84	84_BH2
146_BH2	465926_7_926	K38	BH2	146	146_BH2
195_BH2	428902_8	K41 	BH2	195	195_BH2
225_BH2	465926_8_926	K48	BH2	225	225_BH2
50_BH6	484086_N1	N1	BH6	50	50_BH6
100_BH6	484086_N2	N2	BH6	100	100_BH6
162_BH6	484086_N10	N10	BH6	162	162_BH6
198_BH6	484086_N14	N14	BH6	198	198_BH6
285_BH6	484086_N27	N27	BH6	285	285_BH6
345_BH6	484086_N32	N32	BH6	345	345_BH6
535_BH6	484086_N49	N49	BH6	535	535_BH6
564_BH6	484086_N52	N52	BH6	564	564_BH6
655_BH6	484086_N58	N58	BH6	655	655_BH6
695_BH6	484086_N61	N61	BH6	695	695_BH6
711_BH6	484086_N62	N62	BH6	711	711_BH6
